name,description,price,images,category,condition,availability,details,schedule_date,schedule_time
Bicicletta elettrica City,E-bike pieghevole batteria 36V autonomia 60km ottime condizioni,890,https://images.pexels.com/photos/276517/pexels-photo-276517.jpeg?auto=compress&cs=tinysrgb&w=400|https://images.pexels.com/photos/100582/pexels-photo-100582.jpeg?auto=compress&cs=tinysrgb&w=400,Bicycles,new,single,,2026-06-26,09:30
Bicicletta elettrica City,E-bike pieghevole batteria 36V autonomia 60km ottime condizioni,890,https://images.pexels.com/photos/276517/pexels-photo-276517.jpeg?auto=compress&cs=tinysrgb&w=400|https://images.pexels.com/photos/100582/pexels-photo-100582.jpeg?auto=compress&cs=tinysrgb&w=400,Bicycles,new,single,,2026-06-26,09:50
Divano moderno grigio,Divano 3 posti tessuto grigio scuro come nuovo,450,https://images.pexels.com/photos/1866144/pexels-photo-1866144.jpeg?auto=compress&cs=tinysrgb&w=400,Furniture,new,single,Brand=IKEA|Color=Grigio scuro,2026-06-27,14:00
iPhone 13 Pro 128GB,Smartphone Apple blu sierra batteria 89% con scatola originale,620,https://images.pexels.com/photos/788946/pexels-photo-788946.jpeg?auto=compress&cs=tinysrgb&w=400|https://images.pexels.com/photos/1092644/pexels-photo-1092644.jpeg?auto=compress&cs=tinysrgb&w=400,Cell Phones,new,single,Brand=Apple|Model=iPhone 13 Pro|Color=Blu Sierra,2026-06-28,11:15
Tavolo da pranzo legno,Tavolo rovere 160x90 cm sedute 6 persone,320,https://images.pexels.com/photos/1571460/pexels-photo-1571460.jpeg?auto=compress&cs=tinysrgb&w=400,Furniture,used,single,,2026-06-29,18:45
Scrivania ufficio bianca,Scrivania con 3 cassetti per home office,180,https://images.pexels.com/photos/1959453/pexels-photo-1959453.jpeg?auto=compress&cs=tinysrgb&w=400,Office Supplies,new,single,Brand=Generic|Color=Bianco,2026-06-30,10:00
MacBook Air M1 2020,Portatile Apple 8GB RAM 256GB SSD,750,https://images.pexels.com/photos/18105/pexels-photo.jpg?auto=compress&cs=tinysrgb&w=400,Laptops,new,single,Brand=Apple|Model=MacBook Air M1,2026-07-01,16:30
Sony WH-1000XM5 Cuffie,Cuffie wireless noise cancelling con custodia,280,https://images.pexels.com/photos/3587478/pexels-photo-3587478.jpeg?auto=compress&cs=tinysrgb&w=400,Electronics,new,single,,2026-07-02,13:00
Canon EOS 2000D Reflex,Fotocamera DSLR 24MP con obiettivo 18-55mm,390,https://images.pexels.com/photos/51383/photo-camera-subject-photographer-51383.jpeg?auto=compress&cs=tinysrgb&w=400,Cameras,used,single,Brand=Canon|Model=EOS 2000D,2026-07-03,17:20
Libreria IKEA Kallax,Libreria modulare 4x4 bianca,95,https://images.pexels.com/photos/271897/pexels-photo-271897.jpeg?auto=compress&cs=tinysrgb&w=400,Furniture,used,single,Brand=IKEA|Model=Kallax|Color=Bianco,2026-07-04,15:30
Samsung Galaxy S23 256GB,Smartphone Android dual sim garanzia 2026,540,https://images.pexels.com/photos/1092644/pexels-photo-1092644.jpeg?auto=compress&cs=tinysrgb&w=400|https://images.pexels.com/photos/788946/pexels-photo-788946.jpeg?auto=compress&cs=tinysrgb&w=400,Cell Phones,new,stock,Brand=Samsung|Model=Galaxy S23|Color=Phantom Black,2026-07-05,12:00
Monopattino elettrico Xiaomi,Monopattino 30km autonomia freni a disco,220,https://images.pexels.com/photos/100582/pexels-photo-100582.jpeg?auto=compress&cs=tinysrgb&w=400,Scooters,new,single,,2026-07-06,10:15
